date,week,day,snf,playoffs,rest,o:rest,division,o:division,conference,o:conference,team,P1,P2,P3,P4,o:team,o:P1,o:P2,o:P3,o:P4,line,total,1h diff,2h diff,1h total,2h total,div,con,d_rest
20150927,3,Sunday,0,0,5,6,AFC East,NFC East,AFC,NFC,Jets,0,7,0,10,Eagles,3,21,0,0,-2,46,17,-10,31,10,0,0,-1
20150927,3,Sunday,1,0,6,9,NFC North,AFC West,NFC,AFC,Lions,0,6,6,0,Broncos,0,14,0,10,3,44.5,8,4,20,16,0,0,-3
20150927,3,Sunday,0,0,6,6,NFC South,NFC South,NFC,NFC,Panthers,0,10,10,7,Saints,3,7,6,6,-9.5,43,0,-5,20,29,1,1,0
20150927,3,Sunday,0,0,6,6,AFC East,AFC South,AFC,AFC,Patriots,10,10,17,14,Jaguars,0,3,7,7,-14,49,-17,-17,23,45,0,1,0
20150927,3,Sunday,0,0,6,6,NFC West,AFC North,NFC,AFC,Rams,0,3,0,3,Steelers,3,6,0,3,0,47,6,0,12,6,0,0,0
20150927,3,Sunday,0,0,6,6,AFC North,AFC North,AFC,AFC,Ravens,0,0,7,17,Bengals,7,7,0,14,-1.5,45,14,-10,14,38,1,1,0
20150927,3,Sunday,0,0,6,6,NFC West,NFC North,NFC,NFC,Seahawks,3,3,14,6,Bears,0,0,0,0,-15.5,43.5,-6,-20,6,20,0,1,0
20150927,3,Sunday,0,0,6,6,AFC South,NFC South,AFC,NFC,Texans,7,0,3,9,Buccaneers,0,9,0,0,-6.5,41,2,-12,16,12,0,0,0
20150927,3,Sunday,0,0,6,5,AFC South,AFC South,AFC,AFC,Titans,0,10,17,6,Colts,7,7,0,21,3,46.5,4,-2,24,44,1,1,1
20150927,3,Sunday,0,0,6,6,NFC North,AFC West,NFC,AFC,Vikings,3,7,14,7,Chargers,0,7,0,7,-2,45,-3,-14,17,28,0,0,0
20150928,3,Monday,0,0,7,10,NFC North,AFC West,NFC,AFC,Packers,14,10,7,7,Chiefs,0,7,7,14,-6.5,49,-17,7,31,35,0,0,-3
20151001,4,Thursday,0,0,3,3,AFC North,AFC North,AFC,AFC,Steelers,3,10,7,0,Ravens,7,0,7,6,3,43.5,-6,6,20,20,1,1,0
20151004,4,Sunday,0,0,6,6,NFC North,AFC West,NFC,AFC,Bears,6,10,0,6,Raiders,0,14,3,3,3,44,-2,0,30,12,0,0,0
20151004,4,Sunday,0,0,6,5,AFC North,AFC West,AFC,AFC,Bengals,14,0,15,7,Chiefs,3,9,3,6,-4,45,-2,-13,26,31,0,1,1
20151004,4,Sunday,0,0,6,9,AFC East,NFC East,AFC,NFC,Bills,3,0,0,7,Giants,9,7,0,8,-6,44.5,13,1,19,15,0,0,-3
20151004,4,Sunday,0,0,6,6,AFC West,NFC North,AFC,NFC,Broncos,3,10,7,3,Vikings,0,10,0,10,-6.5,43,-3,0,23,20,0,0,0
20151004,4,Sunday,0,0,6,6,NFC South,NFC South,NFC,NFC,Buccaneers,3,7,7,6,Panthers,10,7,14,6,3,40.5,7,7,27,33,1,1,0
20151004,4,Sunday,0,0,6,6,NFC West,NFC West,NFC,NFC,Cardinals,3,6,3,10,Rams,7,3,7,7,-6.5,43.5,1,1,19,27,1,1,0
20151004,4,Sunday,0,0,6,6,AFC West,AFC North,AFC,AFC,Chargers,7,6,7,10,Browns,3,10,3,11,-5.5,45,0,-3,26,31,0,1,0
20151004,4,Sunday,0,0,6,6,AFC South,AFC South,AFC,AFC,Colts,3,7,0,3,Jaguars,3,10,0,0,-4,43,3,-3,23,3,1,1,0
20151004,4,Sunday,0,0,6,6,NFC South,AFC South,NFC,AFC,Falcons,7,21,14,6,Texans,0,0,0,21,-6,47,-28,1,28,41,0,0,0
20151004,4,Sunday,0,0,6,5,NFC West,NFC North,NFC,NFC,Fortyniners,0,3,0,0,Packers,7,0,10,0,7.5,48,4,10,10,10,0,1,1
